,E_μ=0.1,E_μ=0.46,log2_foldchange
DAPDC_num2,0.002626766552056071,0.00013735365064416476,4.257320829302911
DHDPS,0.0005986830433687651,3.484500175505523e-05,4.1027687764056475
DAPDH,3.7244157237095187e-06,2.167712512767391e-07,4.1027687764056475
ASPK,0.0068952561747947375,0.0010326594113479449,2.739239644938259
PYRC,0.0039017268743360405,0.0008361995852014026,2.2221935582172794
TKT2,0.0001435972264806903,6.749857785980564e-05,1.0890988732054432
RPE,2.088315843766295e-05,1.0342640542585336e-05,1.0137353643666052
TKT1,1.3161638217413708e-06,6.846208011547733e-07,0.9429620390132601
TALA,0.00014536090121624443,7.561148164335461e-05,0.9429620390132601
G6PDH2r,7.682391304118597e-05,4.365624378155557e-05,0.8153674446743762
PGL,0.003047387536519603,0.0017317198242668439,0.815367444674376
GND,0.0005760250480680793,0.0003273341454146024,0.815367444674376
ENO,0.0015992269116903057,0.001515710499148828,0.07738043005169869
PGK,0.00015741534177573095,0.00015678984862919237,0.0057439983821432295
PDH,0.0007647343080760566,0.006591887901723513,-3.107661205097648
ACONTb,1.9604487859022203e-05,0.00023178494208890294,-3.563530985706309
ICDHyr,0.00018861721074885074,0.002230031694006889,-3.563530985706309
CS_num1,3.208150725371306e-05,0.0003793014311008623,-3.563530985706309
ACONTa,1.9604487859022203e-05,0.00023178494208890294,-3.563530985706309
FUM,8.925466062845404e-06,0.00018159795304893364,-4.346676626000045
